molecule_id,name,smiles,charge,multiplicity,biological_note
parp001,olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,0,1,clinically used PARP inhibitor
parp002,niraparib,C1C[C@H](CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,0,1,clinically used PARP inhibitor
parp003,rucaparib,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,0,1,clinically used PARP inhibitor
parp004,talazoparib,CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,0,1,clinically used PARP inhibitor
